username,name,status,first_seen,last_seen,removed_at,stints,current_category,baseline_2023_07_30
qiqubaike,奇趣百科💥,present,2023-07-30 14:38,2026-08-28 16:00,,1,搞笑趣味,yes
quannengsobot,全能搜,removed,2023-07-30 14:38,2025-02-05 08:10,2025-02-05 15:12,2,,yes
qunzudaquan_bot,群组大全_Bot,present,2023-07-30 14:38,2026-08-28 16:00,,2,,yes
Readfine,[好读] ReadFine电子书屋,present,2023-07-30 14:38,2026-08-28 16:00,,1,书报刊漫,yes
recommend3,频道索引&推荐,removed,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,1,,yes
RocheLimit,洛希极限,present,2023-07-30 14:38,2026-08-28 16:00,,1,搞笑趣味,yes
runrungoaway,润润Go away !,present,2023-07-30 14:38,2026-08-28 16:00,,1,资讯新闻,yes
SearcheeBot,Searchee Bot,present,2023-07-30 14:38,2026-08-28 16:00,,2,,yes
shadiaotu,美图与沙雕,removed,2023-07-30 14:38,2025-04-16 13:15,2025-04-16 13:46,1,,yes
sharebooks4you,电子书/听书/期刊/课程资源,present,2023-07-30 14:38,2026-08-28 16:00,,1,书报刊漫,yes
shendu666,深度分享,removed,2023-07-30 14:38,2025-02-05 08:10,2025-02-05 15:12,1,,yes
ShortcutsCN,树洞 群友问 万事答,removed,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,1,,yes
shumozy,书墨资源,removed,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,1,,yes
SMDNF,什么都能放,present,2023-07-30 14:38,2026-08-28 16:00,,1,搞笑趣味,yes
smsgou,电报狗：TG精选收录,removed,2023-07-30 14:38,2024-09-25 14:09,2024-09-30 14:29,1,,yes
So1234Bot,超级搜索,removed,2023-07-30 14:38,2025-02-05 08:10,2025-02-05 15:12,2,,yes
solidot,Solidot,present,2023-07-30 14:38,2026-08-28 16:00,,1,资讯新闻,yes
SomeACG,SomeACG | 每日少女壁纸 🍦,present,2023-07-30 14:38,2026-08-28 16:00,,1,壁纸图片,yes
sosoZHbot,SOSO搜索AI,present,2023-07-30 14:38,2026-08-28 16:00,,2,,yes
sspai,少数派sspai,present,2023-07-30 14:38,2026-08-28 16:00,,1,资讯新闻,yes
streetshoot,街拍,removed,2023-07-30 14:38,2023-09-19 16:11,2023-10-06 14:25,1,,yes
tastegirl,少女实在是太美好了,present,2023-07-30 14:38,2026-08-28 16:00,,1,壁纸图片,yes
teleindex,索引频道,removed,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,1,,yes
TeleSearchMain_bot,TeleSearch,removed,2023-07-30 14:38,2025-02-05 08:10,2025-02-05 15:12,2,,yes
TestFlightCN,Testflight新闻投稿,removed,2023-07-30 14:38,2026-08-16 01:00,2026-08-18 08:50,2,,yes
TG_book_data,📖Telegram数字图书馆,present,2023-07-30 14:38,2026-08-28 16:00,,1,书报刊漫,yes
tg_chs_bot,頻道群組索引機器人,present,2023-07-30 14:38,2026-08-28 16:00,,2,,yes
TG_index_bot,TG 公眾索引機器人,present,2023-07-30 14:38,2026-08-28 16:00,,2,,yes
tgcnxz,Telegram中文社群-收藏夹,removed,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,1,,yes
tgcnz,Telegram 中文频道 🅥,present,2023-07-30 14:38,2026-08-28 16:00,,1,电报入门,yes
tgnavindexbot,TGNAV频道索引机器人,removed,2023-07-30 14:38,2023-08-12 06:42,2023-08-12 06:49,1,,yes
TgTrillion,电报指南 & 精品排行榜,present,2023-07-30 14:38,2026-08-28 16:00,,1,导航索引,yes
tgzhcn,Telegram 中文社区 🅥,present,2023-07-30 14:38,2026-08-28 16:00,,2,中文社群,yes
TheWebGuide,全网漫游指南,removed,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,1,,yes
tingtalk,庭说 TingTalk,present,2023-07-30 14:38,2026-08-28 16:00,,1,博客杂谈,yes
tl_gc,电报群组&频道,removed,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,1,,yes
tnews365,竹新社,present,2023-07-30 14:38,2026-08-28 16:00,,1,资讯新闻,yes
TVbox888,TVBox,removed,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,1,,yes
WeChatEssence,微信搬运工,removed,2023-07-30 14:38,2025-02-04 00:46,2025-02-04 02:15,1,,yes
weekly_books,小声读书 🙈,present,2023-07-30 14:38,2026-08-28 16:00,,1,博客杂谈,yes
WenAnGuan_botjihuo,有故事的女同学,present,2023-07-30 14:38,2026-08-28 16:00,,1,博客杂谈,yes
WidgetChannel,Widget🏂软件工具资源分享,present,2023-07-30 14:38,2026-08-28 16:00,,1,资源分享,yes
winmods,电脑破解免费分享,removed,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,1,,yes
woniubuchuiniu,每日分享频道,removed,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,1,,yes
woshadiao,每日沙雕墙,present,2023-07-30 14:38,2026-08-28 16:00,,1,搞笑趣味,yes
writing_discuss,写作交流,removed,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,1,,yes
wushuwang,每日無數汪,present,2023-07-30 14:38,2026-08-28 16:00,,1,萌宠分享,yes
xhlpd,天天看美女,removed,2023-07-30 14:38,2023-10-29 11:36,2023-11-12 15:52,1,,yes
xhqcankao,风向旗参考快讯,present,2023-07-30 14:38,2026-08-28 16:00,,1,资讯新闻,yes
XiafengButter,夏风小分队,removed,2023-07-30 14:38,2025-02-05 08:10,2025-02-05 15:12,1,,yes
xiangyues,享悦频道,removed,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,1,,yes
xiaojiejiexixi,今天又发现了哪个漂亮小姐姐,removed,2023-07-30 14:38,2025-02-05 08:10,2025-02-05 15:12,1,,yes
XiaoZhangDuBao,校长读报,present,2023-07-30 14:38,2026-08-28 16:00,,1,资讯新闻,yes
xinjingdaily,心惊报,present,2023-07-30 14:38,2026-08-28 16:00,,1,搞笑趣味,yes
xyxyspace,乱七八糟的储物箱,present,2023-07-30 14:38,2026-08-28 16:00,,2,资源分享,yes
yachme,Yachen's Channel,removed,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,1,,yes
yanzhizaici,颜值 美女,present,2023-07-30 14:38,2026-08-28 16:00,,1,壁纸图片,yes
yeqingjie_GJG666,爷青回动画分享频道,removed,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,1,,yes
yinghexiaozu,硬核小卒,present,2023-07-30 14:38,2026-08-28 16:00,,1,博客杂谈,yes
youthkinga,某不知名杂货铺,removed,2023-07-30 14:38,2024-12-22 07:13,2024-12-22 16:31,1,,yes
youyousharechannel,油油の科技软件资源分享,present,2023-07-30 14:38,2026-08-28 16:00,,1,资源分享,yes
youzhi_info,优质群组频道推荐,removed,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,1,,yes
yqc_123,浥轻尘の资源分享,removed,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,1,,yes
yunpanpan,阿里云盘盘,removed,2023-07-30 14:38,2025-08-22 01:52,2025-08-28 18:42,1,,yes
yuri_on1y,[NSFW]守护最好的百合,removed,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,1,,yes
yxzbp,严选之白嫖,removed,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,1,,yes
zaihuayun,阿里云盘资源,removed,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,1,,yes
zaobao_news,联合早报 即时报道,present,2023-07-30 14:38,2026-08-28 16:00,,1,资讯新闻,yes
zaproshare,Zapro Notice,present,2023-07-30 14:38,2026-08-28 16:00,,1,影音资源,yes
zh_secretary_bot,SE-索引秘书,present,2023-07-30 14:38,2026-08-28 16:00,,2,,yes
ziyuan917,优质网站汇总频道,removed,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,1,,yes
zuimeibizhi,最美壁纸 » 每天一张精选壁纸,present,2023-07-30 14:38,2026-08-28 16:00,,2,壁纸图片,yes
ZWAPK,优质软件中文VPN,removed,2023-07-30 14:38,2026-07-08 03:19,2026-07-15 00:07,1,,yes
ZXYSXNONE,链接分享,present,2023-07-30 14:38,2026-08-28 16:00,,1,资源分享,yes
ZZDXJJ,自尊的小姐姐们,present,2023-07-30 14:38,2026-08-28 16:00,,1,壁纸图片,yes
sogo333,TG资源工具箱,removed,2023-10-06 14:25,2026-07-08 03:19,2026-07-15 00:07,2,,
badupindao,8度频道,removed,2023-10-29 11:36,2025-01-31 12:44,2025-01-31 13:11,1,,
moeisland,绝对萌域,present,2023-11-12 15:52,2026-08-28 16:00,,1,壁纸图片,
tgnav0bot,广告招商,removed,2023-12-15 16:05,2024-03-18 14:40,2024-03-18 14:43,3,,
acgxhy,黄游小仓库,removed,2023-12-25 15:29,2026-07-08 03:19,2026-07-15 00:07,1,,
maxpanel,[推广]MaxPanel,removed,2023-12-30 08:41,2024-01-20 15:15,2024-01-30 11:27,1,,
clbfxs,曹老板白嫖分享社,removed,2024-02-02 13:31,2026-07-08 03:19,2026-07-15 00:07,1,,
farrslgrpg,Farr的黄油（游）仓库SLG.RPG.ADV.3D,present,2024-02-02 13:31,2026-08-28 16:00,,1,游戏软件,
MDFL88,[推广]麻豆成人福利,removed,2024-02-05 12:29,2024-05-15 14:25,2024-06-10 10:56,1,,
szzxsyzh,[推广]深圳中学生援助会,removed,2024-05-08 15:48,2024-05-15 14:25,2024-06-10 10:56,1,,
sznmxc,[推广]深圳小甜心,removed,2024-05-12 14:50,2024-06-10 10:56,2024-06-12 12:26,1,,
TeleindexBot,SE-司南索引,removed,2024-05-12 14:50,2025-02-05 08:10,2025-02-05 15:12,2,,
TGQRYbot,TGQRY,present,2024-05-12 14:50,2026-08-28 16:00,,2,,
ikuaisobot,i快搜-🔍强大的搜索引擎,present,2024-05-15 14:25,2026-08-28 16:00,,2,,
yhc11,[推广]怡红春外围,removed,2024-06-16 15:56,2024-09-25 14:09,2024-09-30 14:29,2,,
Panda_sousuo,[推广]Telegram超级搜索,removed,2024-07-01 15:18,2024-07-17 13:50,2024-07-22 15:17,1,,
Jisou_China,[推广]SOSO超级搜索,removed,2024-07-22 15:17,2024-07-22 15:17,2024-07-25 04:57,1,,
Jiso_China,[推广]SOSO超级搜索,removed,2024-07-25 04:57,2024-07-25 04:57,2024-07-30 09:21,1,,
clsvip,财联社VIP文章分享,present,2024-08-13 08:29,2026-08-28 16:00,,1,资讯新闻,
TelegramTips,Telegram Tips,present,2024-08-13 08:29,2026-08-28 16:00,,1,电报入门,
me888888888888,小声逼逼,present,2024-09-01 02:47,2026-08-28 16:00,,1,资讯新闻,
ourvideoworld,画境官方频道,removed,2024-09-17 08:47,2026-07-08 03:19,2026-07-15 00:07,2,,
dbqun,TG电报|中文搜索|中文导航群,removed,2024-09-23 12:54,2024-09-25 14:09,2024-09-30 14:29,1,,
abcd13354,黄油🦐晒饭部,present,2024-09-30 14:29,2026-08-28 16:00,,1,游戏,
acg_moe,ACG萌,removed,2024-09-30 14:29,2026-07-08 03:19,2026-07-15 00:07,1,,
airport_chat,离港[̲̅V̲̅I̲̅P̅]候机室|机场交流🅥,present,2024-09-30 14:29,2026-08-28 16:00,,1,兴趣社群,
alyd_g,阿里巴巴影业集团™ 粉丝群,present,2024-09-30 14:29,2026-08-28 16:00,,1,影音资源,
AndroidDevCn,Android Dev,removed,2024-09-30 14:29,2026-07-08 03:19,2026-07-15 00:07,1,,
appdododo,APPDO娱乐炒币版,removed,2024-09-30 14:29,2026-07-08 03:19,2026-07-15 00:07,1,,
appinn,Appinn Talk 💧 小众软件,present,2024-09-30 14:29,2026-08-28 16:00,,1,数码社群,
AppleTVPlus,Apple TV,removed,2024-09-30 14:29,2026-07-08 03:19,2026-07-15 00:07,1,,
appmiao,APP喵,present,2024-09-30 14:29,2026-08-28 16:00,,1,资源分享,
blacktechsharing,黑科技软件资源分享交流群,present,2024-09-30 14:29,2026-08-28 16:00,,1,资源分享,
Brahmanjg,TG号出售|代开会员,removed,2024-09-30 14:29,2026-07-08 03:19,2026-07-15 00:07,1,,
